Crime Books and Storage,,,,,,,
,,,,,,,
,Author (Surname),Author (First Name),Title,Detective,Series,Year,Box
,Gleeson,Janet,The Grenadillo Box,,,,E
,Goddard,Robert,Caught in the Light,,,,G
,Goddard,Robert,Dying to Tell,,,,J
,Goddard,Robert,Fault Line,,,,J
,Goddard,Robert,Name to a Face,,,,T
,Goddard,Robert,Never Go Back,,,,T
,Goddard,Robert,Sea Change,,,,J
,Godfrey (Ed),Thomas,Country House Murders,,,,E
,Gooden,Philip,Sleep of Death (Shakespeare Murder Mysteries),,,,C
,Goodwin,Jason,The Janissary Tree,,,,C
,Goodwin,Jason,The Snake Stone,,,,C
,Grafton,Sue,A is for Alibi,Kinsey Millhone,,,T
,Grafton,Sue,B is for Burglar,Kinsey Millhone,,,
,Grafton,Sue,C is for Corpse,Kinsey Millhone,,,
,Grafton,Sue,D is for Deadbeat,Kinsey Millhone,,,
,Grafton,Sue,E is for Evidence,Kinsey Millhone,,,
,Grafton,Sue,F is for Fugitive,Kinsey Millhone,,,
,Grafton,Sue,G is for Gumshoe,Kinsey Millhone,,,
,Grafton,Sue,H is for Homicide,Kinsey Millhone,,,
,Grafton,Sue,I is for Innocent,Kinsey Millhone,,,
,Grafton,Sue,J is for Judgement,Kinsey Millhone,,,
,Grafton,Sue,K is for Killer,Kinsey Millhone,,,
,Grafton,Sue,M is for Malice*1,Kinsey Millhone,,,U
